               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.062161,           0.0049419,           0.0050041,             0.53648,             0.74369,             0.56525,             0.37717,            0.029987,           0.0017513,           0.0026746,           0.0033259,           0.0033259,            0.070067
                   1,            0.038833,           0.0037237,           0.0030859,             0.57385,             0.84128,             0.76667,             0.51248,            0.024288,            0.001353,           0.0021753,           0.0063024,           0.0063024,             0.03971
